fullname,Papers,Cites,H-Index,First,Last
Samuel H. Preston,12,1135,9,1974,2016
Ronald F. Freedman,11,213,8,1954,1990
John E. Knodel,11,492,8,1967,2000
John P.M. Bongaarts,10,335,8,1976,2019
Gigi Santow,9,358,7,1979,1998
Pekka Martikainen,8,186,7,1995,2018
Ulla M. Larsen,7,185,7,1994,2008
Emily Grundy,8,163,6,1991,2020
Guy Stecklov,6,282,6,1999,2016
Kathleen E. Kiernan,6,428,6,1983,1999
Robert G. Potter,10,142,6,1956,1969
John G.F. Cleland,6,686,6,1987,2003
Óystein Kravdal,9,410,6,1992,2019
David Sven Reher,7,98,6,1989,2020
Michael J. Murphy,7,215,6,1993,2016
Michel Guillot,7,153,6,2002,2019
Frans W.A. Van Poppel,7,213,6,1995,2016
Francesco C. Billari,8,422,6,2004,2019
Mindel C. Sheps,5,196,5,1963,1966
Alaka Malwade Basu,5,195,5,1989,2004
Mead T. Cain,5,119,5,1986,1991
Aart C. Liefbroer,5,201,5,2001,2015
Dov Friedlander,5,148,5,1970,2002
Linda G. Martin,5,169,5,1980,2011
Jan van Bavel,5,154,5,2003,2018
Irma T. Elo,5,120,5,1999,2018
Thomas McKeown,6,649,5,1955,1978
Jan M. Hoem,6,266,5,1989,2016
Henri Léridon,5,204,5,1976,2008
Noreen Goldman,7,78,5,1980,2003
Jona Schellekens,6,117,5,1985,2017
Nathan Keyfitz,6,80,5,1950,1996
William Henry James,7,72,5,1965,1978
Julie S. DaVanzo,6,230,5,1982,2006
Etienne van de Walle,6,326,5,1965,2000
James Trussell,6,197,5,1988,1996
Alberto Palloni,7,163,5,1975,2009
Barbara S. Okun,6,159,5,1994,2016
Griselda Rowntree,7,68,5,1949,1964
Maxine Weinstein,4,120,4,1987,1990
Griffith Feeney,4,162,4,1980,1994
Vladimir Canudas-Romo,6,58,4,2005,2020
Alícia Adserà,4,142,4,2006,2014
Pat Caldwell,4,408,4,1977,1992
Vladimir M. Shkolnikov,4,81,4,2004,2013
Judah Matras,4,56,4,1960,1965
Brian D. Silver,4,76,4,1986,1995
Carol Vlassoff,4,171,4,1980,1992
David M. Heer,4,61,4,1964,1968
Éva Beaujouan,4,150,4,2011,2018
Peter Laslett,4,146,4,1969,1985
Thomas J. Espenshade,4,60,4,1972,1988
Yi Zeng,4,161,4,1988,2004
Daniel M. Goodkind,4,81,4,1995,2015
Judith Blake,4,145,4,1966,1968
Barbara A. Anderson,4,76,4,1986,1995
Tehsiung Sun,4,147,4,1978,1990
Warren C. Robinson,4,162,4,1961,1997
Michael L. Anderson,4,73,4,1993,1998
Charlotte J. Erickson,4,74,4,1949,1990
Stuart Gietel-Basten,5,59,4,2013,2019
Kenneth Hailey Hill,5,144,4,1991,2016
Mikko Myrskylä,6,48,4,2014,2020
Sandra L. Huffman,5,132,4,1978,1987
Hans Peter E. Köhler,5,343,4,2000,2005
Charles F. Westoff,5,57,4,1956,1987
Basia W. Żaba,5,176,4,1979,2020
Lolagene C. Coombs,5,99,4,1966,1978
Joseph Earl Potter,5,63,4,1988,2013
Ian M. Timæus,6,142,4,1994,2018
Ansley Johnson Coale,4,197,4,1957,1996
John N. Hobcraft,6,158,4,1996,2006
John C. Caldwell,4,148,4,1970,2004
Michael R. Haines,4,121,4,1978,1995
Simon A.J. Gregson,3,127,3,1994,2003
Mingcheng Chang,3,144,3,1982,2002
Jeremiah M. Sullivan,3,74,3,1972,1979
Sidney Goldstein,3,46,3,1970,1997
Joshua R. Goldstein,3,47,3,2006,2018
Wolfgang Lutz,3,26,3,1987,2015
Máire Ní Bhrolcháin,3,76,3,1987,2011
Michael D. Bracher,3,218,3,1993,1998
Monica Das Gupta,3,141,3,1995,1998
Gabriele Doblhammer,3,146,3,2000,2013
Janet W. Salaff,3,31,3,1972,1976
Alden Speare,3,83,3,1967,1973
Sara C. Randall,3,84,3,1996,2011
Jennifer S. Barber,3,105,3,1998,2017
Heather Joshi,3,135,3,1987,2000
Victor Agadjanian,3,77,3,2008,2017
Melinda C. Mills,3,75,3,2010,2015
Warren Bailley Miller,3,157,3,2004,2017
Jane A. Menken,3,58,3,1987,1997
Zachary S. Zimmer,3,142,3,2002,2011
Cynthia B. Lloyd,3,240,3,1993,2008
Evert van Imhoff,3,58,3,1992,1997
Jerzy Berent,3,45,3,1952,1970
Ronald R. Rindfuss,3,32,3,1988,2012
Eliya Msiyaphazi Zulu,3,228,3,2002,2010
Andrew D. Foster,3,91,3,1990,1993
John F. Ermisch,3,87,3,1979,2015
Lincoln C. Chen,3,172,3,1974,1976
Philip C. Sagi,3,34,3,1961,1962
P. N.Mari Bhat,3,133,3,1999,2002
Avraham Y. Ebenstein,3,29,3,2013,2015
George J. Stolnitz,3,130,3,1955,1965
Christopher Tietze,3,10,3,1955,1962
Satvika Chalasani,3,54,3,2012,2020
David K. Guilkey,3,69,3,1986,1997
Kathryn Mary Yount,3,38,3,2004,2010
Bertram Hutchinson,4,24,3,1957,1961
Alain Blum,3,60,3,1989,1996
Francesco Scalone,3,41,3,2014,2017
Matthijs Kalmijn,4,262,3,2005,2010
France Meslé,4,59,3,1999,2020
Julian L. Simon,4,53,3,1969,1980
Martin Dribe,4,91,3,2004,2020
Robert D. Retherford,4,79,3,1973,2010
Minja Kim Choe,3,281,3,1994,2010
Hill Kulu,4,56,3,2007,2019
Barbara Sena Mensch,4,170,3,1985,2020
Zhongwei Zhao,4,42,3,1994,2004
Peter J. Donaldson,4,44,3,1978,2002
Larry L. Bumpass,4,784,3,1986,2000
John B. Casterline,5,259,3,1986,2020
Ronald Demos Lee,3,144,3,1974,2008
Fjalar S.A. Finnäs,4,44,3,1991,2018
David Yaukey,3,23,3,1965,1973
Robert I. Woods,3,87,3,1991,2005
James C. Riley,3,66,3,1989,2003
Dirk J. van de Kaa,3,21,3,1991,2013
Chris Wilson,3,519,3,1987,1999
Monica das Gupta,3,411,3,1990,2013
Sangeetha Madhavan,3,69,3,2002,2017
Philip Kreager,3,43,3,1988,2015
Roy Malcolm Anderson,2,83,2,1994,1999
David A. Coleman,2,16,2,2015,2015
Anthony H. Richmond,2,19,2,1964,1968
Ruth B. Dixon,2,184,2,1971,1978
Phillip R. Kunz,2,34,2,1974,1976
Dallas F S Fernando,2,28,2,1972,1975
Michel L. Garenne,2,76,2,1989,2002
Evgeny M. Andreev,2,40,2,2004,2011
Lee Jay Cho,2,31,2,1978,1988
Les D. Mayhew,2,15,2,2013,2015
Patrick R. Galloway,2,208,2,1988,1994
Kryštof Zeman,2,23,2,2016,2018
Arjuun L. Adlakha,2,12,2,1968,1974
Alvin T. Onaka,2,8,2,1972,1973
Norman Y. Luther,2,35,2,1988,1990
Kenneth W. Wachter,2,47,2,1988,2006
Bertrand Desjardins,2,52,2,1990,1995
Alex Chika Ezeh,2,182,2,2002,2005
Barry Michael Popkin,2,32,2,1986,1988
Caroline Berghammer,2,117,2,2012,2012
Robert Schoen,2,25,2,1998,2005
Martin Piotrowski,2,26,2,2007,2012
Elizabeth Thomson,2,73,2,1999,2011
Guido Alfani,2,25,2,2010,2019
Arland D. Thornton,2,38,2,1977,2012
Anastasia Jessica Gage,2,135,2,1998,2006
Arthur H.O. van Soest,2,19,2,2011,2014
Tommy Bengtsson,2,112,2,2000,2017
Tom A. Moultrie,2,113,2,2003,2012
Renzo Derosas,2,22,2,2009,2010
Janet D. Griffith,2,55,2,1984,1985
Gavin W. Jones,2,27,2,1977,1980
George C. Myers,2,16,2,1962,1966
Lincoln H. Day,2,43,2,1965,1968
Neil H. Thomas,2,19,2,1991,1993
David R. Weir,2,75,2,1990,1994
Alice Reid,2,33,2,2002,2020
Ken Robert Smith,2,26,2,2015,2017
Gösta Carlsson,2,149,2,1966,1970
Denis Peter Mazur,2,14,2,1967,1969
Jennifer L. Glanville,2,137,2,2002,2007
Elina K. Nihtilä,2,110,2,2005,2007
Martin Bell,2,65,2,2000,2014
Francine van de Walle,2,38,2,1975,1989
Helen P. Koo,2,55,2,1984,1985
Ann Klimas Blanc,2,35,2,2017,2019
Jennifer A. Holland,2,21,2,2011,2017
Jacques Légaré,2,55,2,1990,1997
Mark J. VanLandingham,2,76,2,1992,2001
Gerḿan Rodríguez,2,103,2,1988,1992
Timothy B. Gage,2,27,2,1986,1993
John S. Akin,2,32,2,1986,1988
Gunnar Andersson,2,102,2,2005,2007
Heather Booth,2,238,2,1984,2002
Mark Spoerer,2,21,2,2002,2006
Chris Galley,2,82,2,1995,2001
Andres Vikat,2,87,2,1999,2007
Christiaan W.S. Monden,2,7,2,2010,2018
Allan Schnaiberg,2,18,2,1973,1974
Kia I. Reinis,2,23,2,1992,1994
Anastasia J. Gage-Brandon,2,114,2,1993,1994
Jiajian Chen,2,48,2,2007,2010
Massimo Livi-Bacci,2,13,2,1974,2015
Anne Retel-Laurentin,2,14,2,1976,1981
Li Bohua,2,26,2,1988,2010
Thomas Schindlmayr,2,121,2,2003,2004
Oiva Turpeinen,2,41,2,1978,1979
El Sayed E. Nour,2,7,2,1983,1984
Nyovani J. Madise,2,64,2,1999,2012
Massimo Livi Bacci,2,62,2,1968,1968
John D. Durand,2,66,2,1950,1960
Carl Paul Schmertmann,2,19,2,1992,2013
Ingrid K. van Dijk,2,7,2,2019,2020
Jim E. Oeppen,2,40,2,1993,2019
Cameron D. Campbell,2,111,2,1994,1995
John Peel,2,40,2,1963,1964
Zvi Eisenbach,2,46,2,1979,2002
Scott T. Yabiku,2,97,2,2005,2010
Bernard Berelson,2,10,2,1971,1980
Julius Isaac,2,5,2,1949,1950
Torkild Hovde Lyngstad,2,16,2,2009,2018
David Smith,2,15,2,2013,2015
Nicky Hart,2,87,2,1993,1998
Jean Marie Robine,2,80,2,2006,2007
Shige Song,2,31,2,2008,2013
Daniel C. Clay,2,56,2,1992,1993
Michael S. Teitelbaum,2,27,2,1974,2015
George C. Alter,2,87,2,1989,2004
Graziella Caselli,2,33,2,2006,2011
Tarun Kumar Roy,2,285,2,1998,2006
Anne R. Pebley,2,23,2,1981,1985
Anrudh Kumar Jain,2,59,2,1969,1969
Philip Howell Rees,2,40,2,2000,2014
Emily M. Agree,2,54,2,2005,2010
Irene Barnes Taeuber,2,15,2,1947,1960
William R. Lavely,2,44,2,1988,2001
Mark R. Montgomery,2,113,2,1988,1993
Calvin Goldscheider,2,51,2,1978,1979
Victoria Hosegood,2,93,2,2007,2010
Violetta Hionidou,2,35,2,1998,2002
Michael J. White,2,61,2,1999,2006
Clyde V. Kiser,2,33,2,1953,1956
Zoë Matthews,2,64,2,1999,2012
Rachel M. Pierce,2,24,2,1961,1961
Robert V. Wells,2,67,2,1971,1992
Peter Anthony Lachenbruch,2,25,2,1967,1968
Stan R. Becker,2,46,2,1986,2008
Rebecca Sear,3,25,2,2015,2019
Jane E. Miller,3,57,2,1989,1995
Alan Gray,3,37,2,1986,1989
Jessica Nisén,3,19,2,2014,2020
Charles Wick Warren,2,25,2,1988,1992
Kenneth Alan Bollen,2,137,2,2002,2007
Thomas W. Pullum,2,17,2,1987,1999
John R. Wilmoth,2,53,2,1995,2012
Patrick Heuveline,2,83,2,1998,2015
Jackie Li,2,43,2,2013,2016
John A. Hostetler,2,45,2,1966,1979
Deborah L. Balk,2,194,2,1994,1997
Dominique Meekers,2,83,2,1994,1999
Aude Bernard,2,42,2,2014,2017
William George Axinn,2,62,2,1993,1998
Jan M. Saarela,2,18,2,2005,2018
Helen Ware,2,19,2,1976,1977
Abdur Razzaque,2,114,2,1990,2008
Cicely Watson,5,9,2,1952,1954
Laurence M. Grummer-Strawn,2,73,2,1992,1993
Abbas Uddin Bhuiya,2,77,2,1991,1997
Peter R. Uhlenberg,2,71,2,1969,1995
Heidi A. Hanson,2,26,2,2015,2017
Elise F. Jones,2,20,2,1981,1982
Frans J.C. Willekens,3,25,2,2017,2017
Govert E. Bijwaard,3,12,2,2013,2019
Zuzanna Brzozowska,2,23,2,2016,2018
Jakub Bijak,3,24,2,2016,2017
Christophe Z. Guilmoto,4,59,2,1998,2020
Philippe Fargues,3,25,2,1979,1990
Hannaliis Jaadla,3,20,2,2016,2020
Alice Goldstein,2,80,2,1981,1997
Ernestina E. Coast,3,67,2,2003,2018
Mohamed Mahmoud Ali,3,45,2,2003,2007
Monica J. Grant,3,26,2,2012,2020
